"Countries","Adult_Literacy","Internet_Users","GDP_Per_Capita","Immunization_DPT_Children","Prevalence_HIV","Population_Growth_Annual","Infant_Mortality_Rate","School_Enrollment","High_Tech_EXP","Unemployment_Female","Urban_Population_Total"
"Data Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Last Updated Date",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Country Name","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014"
"Aruba",NA,"83.78","25528.4037804428",NA,NA,"0.587492389430341",NA,"117.10809","5.44921110825258",NA,"56.959"
"Afghanistan",NA,"7","625.3395388285","62",NA,"3.18320145523634","56.7","107.36793",NA,"13.2880001068115","75.413"
"Angola","66.0301099999999","10.2","5412.6923476178","55","1.9","3.48541253470949","60.9",NA,NA,"7.65399980545044","37.269"
"Albania",NA,"60.1","4578.66793446159","98","0.1","-0.207046999760594","8.6","107.67276","0.120347981733419","15.1120004653931","43.577"
"Andorra",NA,"95.9","42294.9947269717","97",NA,"-1.95617789444492","3.5",NA,"18.6113357650062",NA,"11.559"
"Arab World","73.32167","36.4579583655274","7456.59817269612","84.5138636525639",NA,"2.18519686056942","29.3027041945133","95.15878","3.35589770129314","19.1010266922076","42.4423946952437"
"United Arab Emirates",NA,"90.4","44443.0615141941","99",NA,"0.714762520858884","7.2","104.89406","8.46340885062954","6.83799982070923","14.625"
"Argentina","98.9938899999999","64.7","12245.2564487696","94","0.4","1.03270928221435","10.7","109.97317","6.87639172294696","8.39999961853027","8.623"
"Armenia",NA,"54.6228058583362","3994.71235479566","93","0.2","0.438331527278028","13.1","96.71612","2.70033218674106","19.4729995727539","36.888"
"American Samoa",NA,NA,"11598.7517362051",NA,NA,"0.234775806748866",NA,NA,NA,NA,"12.712"
"Antigua and Barbuda",NA,"67.78","12900.9030032308","99",NA,"1.06864803793939","6.2","87.75017",NA,NA,"74.825"
"Australia",NA,"84","62327.5559390333","92","0.1","1.53587885355185","3.3","106.07004","13.5987282005105","6.16200017929077","14.398"
"Austria",NA,"80.9958249574764","51704.5411875921","98","0.1","0.781541632525841","3.1","101.38857","13.8805613897353","5.38000011444092","42.474"
"Azerbaijan","99.78899","75.0000156363396","7891.31314749986","94","0.1","1.24820899735588","25.1","106.05989","7.0024690956921","5.83900022506714","45.578"
"Burundi","61.56973","1.38","273.538284989312","95","1.2","2.99226468715451","48","137.89885","1.28347145259199","1.13900005817413","88.224"
"Belgium",NA,"85","47351.9741788818","99",NA,"0.234370843738166","3.3","103.64779","12.8109517773418","7.93699979782104","2.167"
"Benin",NA,"6","943.686575031401","78","1.1","2.78228712901218","68","129.59724","4.12637971494542","2.84999990463257","54.834"
"Burkina Faso","34.5994","9.4","703.821656461717","91","0.9","2.96197793879113","56.1","87.33811","10.649782456763","9.52600002288818","73.066"
"Bangladesh","61.0933","13.9","1084.56542980269","97","0.1","1.15718802793056","31.5",NA,NA,"7.15299987792969","66.465"
"Bulgaria",NA,"55.49","7864.76067225524","88","0.1","-0.568389264052903","7.4","98.5419","6.88225822262465","10.3990001678467","26.349"
"Bahrain",NA,"90.5031334814656","24983.3790153356","98","0.1","1.58280223356287","6.6","99.68311","1.48318203376337","3.91499996185303","11.085"
